Hotel Name,Price per Night (USD),Property Type,Bedroom,Bathroom,Location,Popularity Index,Rank
Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,1.0,"Beachfront, Villa",0.5,0.75,"Nusa Dua, Bali",0.5125,1
Family Holiday House w/ Private Pool in Jimbaran,0.27728613569321536,Villa,1.0,1.0,"Alang Alang Residence Jimbaran, Jimbaran (Bali), Indonesia, 80361",0.4331858407079646,2
4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,0.5427728613569321,"Amazing pool, Amazing View, Jungle View, Pool view, Tropical, Villa",0.75,0.75,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0.42533185840707965,3
4BR Homey Villa in Uluwatu | Kitchen + Wifi + Pool by Bukit Vista,0.43067846607669613,Villa,0.75,0.75,"Jln Labuhan Sait Br. Dinas Kulat, Pecatu Uluwatu Uluwatu, Pecatu, South Kuta, Badung Regency, Bali 80361",0.3917035398230088,4
Bohemian Beachfront Surf Villa by the Bingin Beach,0.49557522123893805,"Beachfront, Residential, Villa",0.75,0.5,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",0.37367256637168145,5
Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,0.43952802359882004,"Amazing pool, Golfing, Surfing, Tropical, Villa",0.5,0.625,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",0.325608407079646,6
Bukit Vista | Heritage Joglo Villa w/ Private Pool,0.2920353982300885,Villa,0.75,0.5,"gupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",0.3126106194690266,7
Bingin Beach Hideaway: Group Villa with Pool & BBQ,0.4218289085545722,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",0.5,0.5,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",0.3015486725663717,8
Bukit Vista | Heritage Joglo Villa w/ Private Pool,0.24188790560471976,"Residential, Style, Villa",0.75,0.5,"Kauman, Yogyakarta",0.297566371681416,9
Bukit Vista | Stunning 3BR Villa Near Padang Beach,0.3982300884955752,Villa,0.5,0.5,"Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",0.2944690265486726,10
Dreamy Haven w/ Pool | 300m from Bingin Beach,0.5811209439528023,Villa,0.25,0.25,Villa Kaba by Bukit Vista,0.2618362831858407,11
3BR Javanese Traditional Relaxing Villa with Pool,0.327433628318584,Villa,0.5,0.375,"Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, 55284",0.25448008849557524,12
Spacious New Tropical Villa w/ GWK View,0.25958702064896755,"View, Villa",0.5,0.5,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",0.25287610619469025,13
Dazzling Villa with Pool and Rooftop in Bingin,0.5427728613569321,Villa,0.25,0.25,"Bingin, Badung, Bali",0.2503318584070796,14
Ungasan Haven: 3BR Villa w/ Private Pool Retreat,0.18289085545722714,Villa,0.5,0.625,Amerta Puratangi Villa by Bukit Vista,0.24861725663716816,15
Tranquil 3BR Villa in Jimbaran with Wi-Fi + Pool,0.20058997050147495,"Residential, Villa",0.5,0.5,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",0.2351769911504425,16
Lovely Private Pool Villa in Strategic Location,0.20058997050147495,Villa,0.5,0.5,"Jl. Pantai Pererenan Gg. Bima, Pererenan, Mengwi, Badung Regency, Bali 80351",0.2351769911504425,16
Sunny Tropical Luxe Villa in Ungasan with Pool,0.4542772861356933,Villa,0.25,0.25,"Ungasan, Badung, Bali",0.22378318584070797,18
Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,0.4336283185840708,"Pool view, Villa",0.25,0.25,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",0.21758849557522122,19
Tranquil Kutuh Villa w/ Pool – Ideal for Groups,0.11799410029498525,Villa,0.5,0.5,"Jalan Gubug Sari, Kutuh, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80363, Indonesia",0.21039823008849556,20
Retreat to Nature Jungle House Villa near Canggu,0.37168141592920356,"Jungle View, Residential, Villa",0.25,0.25,"Canggu, Bali",0.19900442477876107,21
Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,0.2949852507374632,"Pool view, Villa",0.25,0.375,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",0.19474557522123895,22
Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,0.2654867256637168,"Guest House, Villa",0.25,0.25,"Canggu, Bali",0.16714601769911505,23
Sun-Soaked Canggu Villa Perfect for Families,0.24188790560471976,Villa,0.25,0.25,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",0.16006637168141594,24
Group Getaway: Cozy Villa w/Pool Near GWK Park￼,0.1622418879056047,"Residential, Villa",0.25,0.375,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",0.1549225663716814,25
Sun-Soaked 2BR Villa w/ Pool 15-Min Ride to Beach,0.2153392330383481,Villa,0.25,0.25,"Denpasar, Bali, Nusa Tenggara, Indonesia",0.15210176991150443,26
Voguish Penthouse with Rooftop Pool Near Canggu,0.2094395280235988,Villa,0.25,0.25,"Denpasar, Bali, Nusa Tenggara, Indonesia",0.15033185840707963,27
Grand Villa Retreat w/ Pool & Garden in Ungasan,0.19469026548672566,"Amazing pool, Golfing, Pool view, Villa",0.25,0.25,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",0.1459070796460177,28
Artisanal Berawa Villa: 11 mins Ride to Beach,0.1622418879056047,Villa,0.25,0.25,"Denpasar, Bali, Nusa Tenggara, Indonesia",0.1361725663716814,29
Villa by Rice Fields in Canggu,0.1622418879056047,"Rice paddy view, Villa",0.25,0.25,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",0.1361725663716814,29
Private Ungasan Hideaway Villa with Pool Oasis,0.4336283185840708,Villa,0.0,0.0,"Ungasan, Badung, Bali",0.13008849557522123,31
Luxury & Calm Villa with pool near Nusa Dua Beach,0.1415929203539823,View,0.25,0.25,"Jalan Dharmawangsa Kampial, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",0.12997787610619468,32
Quaint & Homey Balinese Villa w/ Private Pool,0.1209439528023599,"Villa, Residential",0.25,0.25,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",0.12378318584070797,33
Prestigious Apartment w/ Mt. Merapi View,0.10619469026548672,Guest House,0.0,0.0,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",0.03185840707964602,34
Beachfront Bungalow w/ Sunset View,0.06784660766961652,"Beachfront, Guest House, Residential",0.0,0.0,"Jl. Ped - Buyuk, Banjar Bodong, Desa Ped, Kec Nusa Penida, Kabupaten Klungkung",0.020353982300884955,35
Summer Vibe Stay in Bingin with Pool + Fast WIFI,0.05309734513274336,Guest House,0.0,0.0,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",0.01592920353982301,36
Ubud’s Verdant Hideaway w/ Pool & Garden Views,0.0471976401179941,Guest House,0.0,0.0,"Ubud, Bali",0.01415929203539823,37
Bright & Sunny Guesthouse with Green Lawn and Pool,0.038348082595870206,Guest House,0.0,0.0,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",0.011504424778761062,38
Picturesque Cottage in the Heart of Ubud’s Nature,0.035398230088495575,"Jungle View, Villa",0.0,0.0,"Peliatan, Ubud, Gianyar, Bali. 80571",0.010619469026548672,39
Breathtaking Hillside Private Cabin in Lembongan,0.035398230088495575,"Guest House, Ocean view",0.0,0.0,"Nusa Lembongan, Bali",0.010619469026548672,39
Ocean-View Eco Dorms at Nusa Lembongan Hilltop,0.029498525073746312,"Guest House, Ocean view",0.0,0.0,"Nusa Lembongan, Bali",0.008849557522123894,41
Clean Room in Jogja Local Authentic Holiday House,0.02654867256637168,Guest House,0.0,0.0,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",0.007964601769911504,42
Peaceful Uluwatu Cabin w/ Unspoiled Beaches Nearby,0.02359882005899705,Guest House,0.0,0.0,"Jalan Gunung Tengger, Pecatu, Kabupaten Badung, Bali",0.007079646017699115,44
Authentic Balinese Cabin near Beach | sterilized,0.02359882005899705,Villa,0.0,0.0,"South Kuta, Bali, Indonesia",0.007079646017699115,44
Villa Santorini untuk Digital Nomads oleh Bukit Vista,0.02359882005899705,Villa,0.0,0.0,Unknown,0.007079646017699115,44
Laid-back in Uluwatu Bungalow w/ Pool & Fast Wifi,0.02359882005899705,Guest House,0.0,0.0,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",0.007079646017699115,44
Stylish Rustic Cabin in Penida near Seaside Cafe,0.017699115044247787,"Guest House, Residential",0.0,0.0,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",0.005309734513274336,47
Once in a Lifetime Hilltop Bungalow Experience,0.0029498525073746312,"Guest House, Residential",0.0,0.0,"Suana, Nusapenida, Kabupaten Klungkung, Bali 80771",0.0008849557522123894,48
Eco Treehouse Stay with Lembongan Sea Views,0.0,"Guest House, Ocean view",0.0,0.0,"Nusa Lembongan, Bali",0.0,49
Eco-Friendly Lodge w/ Ocean View in Nusa Lembongan,0.0,"Guest House, Ocean view",0.0,0.0,"Nusa Lembongan, Bali",0.0,49
